Country,renewable_energy,net_zero_pathway,methane_reduction,adaptation_finance,industrial_decarbonisation,transport_targets,lulucf_forestry
India,0.70,0.70,1.00,,,,0.70
China,0.60,0.60,0.60,,,,0.70
USA,0.60,0.90,1.00,,,,0.70
EU,0.60,0.75,0.70,,,,0.70
UK,0.60,0.70,0.60,,,,0.60
Japan,0.60,0.60,0.80,,,,0.60
Australia,0.70,0.70,1.00,,,,1.00
Brazil,0.70,0.70,1.00,,,,0.70
Indonesia,0.70,0.60,0.70,,,,0.70
South Korea,0.70,0.70,1.00,,,,0.60
Canada,0.70,0.70,0.70,,,,0.70
Mexico,0.60,0.80,0.80,,,,1.00
South Africa,0.60,0.60,0.80,,,,1.00
Saudi Arabia,0.60,0.80,0.70,,,,1.00
Argentina,0.70,0.70,0.80,,,,0.70
Turkey,0.60,0.70,0.70,,,,0.60
Russia,1.00,0.60,0.80,,,,1.00
