Country,renewable_energy,net_zero_pathway,methane_reduction,adaptation_finance,industrial_decarbonisation,transport_targets,lulucf_forestry
India,MISSING,ABSENT,CRITICAL,ABSENT,MISSING,MISSING,MISSING
China,MISSING,ABSENT,SIGNIFICANT,ABSENT,MISSING,MISSING,MISSING
USA,MISSING,CRITICAL,CRITICAL,CRITICAL,MISSING,MISSING,MISSING
EU,MISSING,ABSENT,SIGNIFICANT,ABSENT,MISSING,MISSING,MISSING
UK,MISSING,ABSENT,ABSENT,ABSENT,MISSING,MISSING,MISSING
Japan,MISSING,ABSENT,CRITICAL,SIGNIFICANT,MISSING,MISSING,MISSING
Australia,MISSING,SIGNIFICANT,CRITICAL,SIGNIFICANT,MISSING,MISSING,MISSING
Brazil,MISSING,SIGNIFICANT,CRITICAL,CRITICAL,MISSING,MISSING,MISSING
Indonesia,MISSING,SIGNIFICANT,ABSENT,ABSENT,MISSING,MISSING,MISSING
South Korea,MISSING,ABSENT,CRITICAL,SIGNIFICANT,MISSING,MISSING,MISSING
Canada,MISSING,SIGNIFICANT,SIGNIFICANT,CRITICAL,MISSING,MISSING,MISSING
Mexico,MISSING,CRITICAL,ABSENT,CRITICAL,MISSING,MISSING,MISSING
South Africa,MISSING,SIGNIFICANT,CRITICAL,ABSENT,MISSING,MISSING,MISSING
Saudi Arabia,MISSING,ABSENT,SIGNIFICANT,CRITICAL,MISSING,MISSING,MISSING
Argentina,MISSING,SIGNIFICANT,CRITICAL,CRITICAL,MISSING,MISSING,MISSING
Turkey,MISSING,CRITICAL,ABSENT,ABSENT,MISSING,MISSING,MISSING
Russia,MISSING,CRITICAL,CRITICAL,SIGNIFICANT,MISSING,MISSING,MISSING
